##plural 0
# Simpleton City Builder   english.txt
#

#town area
STR_HQTOWN                        :Ciudad de {COMPANY}
STR_HQAREA_RIGHT                  :> Área de {COMPANY}
STR_HQAREA_BOTTOM                 : v Área de {COMPANY} v
STR_HQAREA_LEFT                   :Área de {COMPANY} <
STR_HQERR                         :No puedes reclamar una CIUDAD
STR_CITY                          :.:: Ciudad ::.
STR_CITY2                         :{YELLOW}.:: Ciudad ::.

#welcome message
STR_WELCOME                       :{}{BIG_FONT}Saludos y bienvenido a la experiencia City Builder o Ingenieros Urbanos{}{}Traido para ti por{}{}{YELLOW}El Equipo de Novapolis{}{}{WHITE}http://novapolis.net{}{}


#news
STR_PLACE_HQ                      :Construye tu sede (HQ) en una ciudad para reclamarla; aviso, ¡Las grandes ciudades no pueden ser reclamadas!
STR_CITY_NOTCLAIMED               :{COMPANY} no puede reclamar una CIUDAD

#information
STR_CITY_NOTCLAIMED_INFO          :No puedes reclamar una {YELLOW}CIUDAD
STR_TOWN_NEIGHBOUR_CLOSE_INFO     :{YELLOW}{TOWN} {BLACK}está muy cerca de otra ciudad reclamada

#STR_TOWN_CLAIMED_RES              :{}Town will require {}{STRING2}{}{STRING2}{}{STRING2}{}{STRING2}{}{STRING2}{}{STRING2}

#dummy
STR_EMPTY0                        :
STR_EMPTY1                        :{STRING}


#goal gui
STR_GLOBAL_GOAL_CB                :{ORANGE}INGENIERO URBANO ::: La meta del juego es alcanzar una población de : {GREEN}{COMMA} {BLACK}personas
STR_GAME_LENGTH                   :{GREEN}{NUM}  {BLACK}año{P "" s} para el fin del juego






STR_TOWN_MISSING_CARGO            :{BLACK}Servicios adecuados aún carentes en la Ciudad :   {WHITE}{CARGO_LIST}

STR_TOWN_NEXT_CARGO               :{BLACK}Siguiente/s: {GREEN}{CARGO_LIST} {BLACK}para una población de {GREEN}{COMMA} {BLACK}ó mayor


#town gui




STR_TOWN_CARGO_YES                :{} {ORANGE}{CARGO_LIST} {COMMA}





#town names according to population
STR_TOWNNAME_POP0                 :Asentamiento
STR_TOWNNAME_POP1                 :Centro turístico
STR_TOWNNAME_POP2                 :Pueblo
STR_TOWNNAME_POP3                 :Ciudad
STR_TOWNNAME_POP4                 :Gran ciudad
STR_TOWNNAME_POP5                 :Metrópolis


#goal progress
STR_WINNER_TIME                   :{BLACK}El juego ha terminado.{} {YELLOW}{COMPANY} {BLACK}ha ganado con una población de {YELLOW}{COMMA} {BLACK}


STR_STORY_PROGRESS                :{WHITE}{NUM} {BLACK}: {YELLOW}{COMPANY} {BLACK}con una población de {YELLOW}{COMMA} {BLACK} ({YELLOW}{STRING}{COMMA}{BLACK}).

#test
#STR_COLOURS                       :{BLACK}ABC  {WHITE}ABC {RED}ABC    {GREEN}ABC {BLUE}ABC   {YELLOW}ABC {ORANGE}ABC {PURPLE}ABC {GRAY}ABC   {BROWN}ABC {SILVER}ABC {GOLD}ABC {CREAM}ABC  {LTBLUE}ABC {DKBLUE}ABC {DKGREEN}ABC {LTBROWN}ABC

#usable and well visible in GUI:
#{BLACK} {WHITE} {GREEN} {YELLOW} {ORANGE} {SILVER} {GOLD} {LTBLUE} {DKGREEN}
#usable colours
#{BLACK}  {WHITE} {RED}    {GREEN} {BLUE}   {YELLOW} {ORANGE} {PURPLE} {GRAY}   {BROWN} {SILVER} {GOLD} {CREAM}  {LTBLUE} {DKBLUE} {DKGREEN} {LTBROWN}
